title,probability
WP_037911672.1 cytochrome P450 [Actinacidiphila yeochonensis],0.5994081221241778
WP_209338556.1 cytochrome P450 [Streptomyces montanisoli],0.3996881959910913
WP_039629497.1 cytochrome P450 [Streptomyces sp. 769],0.2995946506215871
WP_189865533.1 cytochrome P450 [Streptomyces noursei],0.3995946506215871
WP_102924987.1 cytochrome P450 [Streptomyces noursei],0.3995946506215871
WP_235095385.1 cytochrome P450 [Streptomyces sp. A1-5],0.3995946506215871
WP_205368221.1 cytochrome P450 [Streptomyces noursei],0.3995946506215871
WP_266644755.1 cytochrome P450 [Streptomyces sp. NBC_01500],0.49950166749368197
WP_250305079.1 cytochrome P450 [Streptomyces sp. A 4/2],0.49950166749368197
WP_038524516.1 cytochrome P450 [Streptomyces noursei],0.3
WP_020930390.1 cytochrome P450 [Streptomyces noursei],0.3
WP_100603065.1 cytochrome P450 [Streptomyces sp. CB02959],0.3996881959910913
WP_098510021.1 cytochrome P450 [Amycolatopsis sulphurea],0.299501667493682
WP_259622704.1 cytochrome P450 [Umezawaea endophytica],0.49940812212417784
WP_037715761.1 cytochrome P450 [Amycolatopsis sp. AA4],0.2996881959910913
WP_244223516.1 cytochrome P450 [Amycolatopsis circi],0.39940812212417776
WP_237440063.1 cytochrome P450 [Amycolatopsis rubida],0.2999064546304958
WP_244287330.1 cytochrome P450 [Amycolatopsis rubida],0.2999064546304958
WP_067575340.1 cytochrome P450 [Amycolatopsis sp. M39],0.2999064546304958
WP_240014650.1 cytochrome P450 [Amycolatopsis sp. Poz14],0.2996881959910913
WP_043830661.1 cytochrome P450 [Amycolatopsis orientalis],0.2996881959910913
WP_240690736.1 cytochrome P450 [unclassified Amycolatopsis],0.2996881959910913
WP_240691316.1 cytochrome P450 [Amycolatopsis nivea],0.2996881959910913
WP_200863050.1 cytochrome P450 [Amycolatopsis orientalis],0.2996881959910913
WP_246369088.1 cytochrome P450 [Amycolatopsis echigonensis],0.2996881959910913
WP_244194705.1 cytochrome P450 [Amycolatopsis niigatensis],0.2995946506215871
WP_230649662.1 cytochrome P450 [Streptacidiphilus sp. ASG 303],0.2998134715025907
WP_073760529.1 cytochrome P450 [Streptomyces sp. CB02923],0.2998134715025907
WP_250304494.1 cytochrome P450 [unclassified Streptomyces],0.29971992613308646
WP_116176566.1 cytochrome P450 [Kutzneria buriramensis],0.3997199261330865
WP_214243450.1 cytochrome P450 [Williamsia sp. CHRR-6],0.2998134715025907
WP_077972207.1 cytochrome P450 [Streptomyces tsukubensis],0.39940812212417776
WP_246471754.1 cytochrome P450 [Saccharopolyspora phatthalungensis],0.49940812212417784
WP_233574223.1 cytochrome P450 [Amycolatopsis panacis],0.49950166749368197
